,Text,Biased
16,"stunning how gratuitously and galactically stupid sanders attack on aipac, israel, defense of castro are. what's the point? satisfying his base? ideological conviction? either way, shape of things to come. https://t.co/kssucqt9dw",0
17,@frankpercival @yorkshirelady3 leave my timeline you�re a marxist and anti israel,0
18,breaking: israel pm netanyahu entered self-quarantine until next wednesday,0
19,rt @anniebwansford: i love visiting new countries and on the list now is israel. after a few hours i love tel aviv https://t.co/lckjxpmvan,0
20,"beautiful to see christians and jews come together to help the impoverished in israel.

https://t.co/g6mxrhvq1n",0
21,@ar26389717 a massive number of people in bani israel were doing bukwas allah did it to shut their mouth,0
22,"@rachael_swindon @knightrgb i agree however there are many people who say it is antisemetic to challenge the israeli government at all,its a word used to often now by people who don�t understand it. it�s antisemetic to challenge the existence of the jewish community and it�s people not a governments action",0
23,"@gerrysimpsonhrw @hrw israel isn�t occupying gaza, and there�s no blockade on medical supplies. nor is israel responsible for hamas� decision to prioritize terror tunnels and rockets over the health care system in gaza",0
24,this is so stupid that israel is also almost out of toilet paper in our stores bc we make it here not in china people are so f dumb,0
25,protection is very needed by all in these times especially the children of israel. satan is lurking at an all time high for the righteous especially because most of the world has turned to a reprobated mind which means their souls are already his to say the very least,0
26," israel gym ???? 

? latias ?

gym : don quixote 
city : ramat gan 
team : ??
time : xx:31

32.050971,34.776826
#expassgym
#pokemongo",0
27,"breaking: an israeli mother is taking cover with her son as at least 20 rockets were fired at southern israel right now. #gaza 

please pray ?? https://t.co/x0riugudhm",0
28,"iran lied to america and the west

iran funds terror against america and israel

why did obama and biden send them $1 billion in cash?

did they get anything in return?

why is john kerry allowed to secretly negotiate in defiance of the logan act?

investigate these ties to iran",0
29,ive never been more ashamed to say i ever supported israel,0
30,@mrbesseder @bds_australia hey hey bibi win... and viva bib am israel hai,0
31,@regretjap123 @romanticdesert @bowlclogger69 diaspora boy vs israel man https://t.co/wkgi4fxmng,0
32,report: obama thwarted israeli plan to kill soleimani in 2015 by leaking details to iran - breaking israel news | latest news. biblical perspective. https://t.co/vbevqhkrhy,0
33,from india to hungary to the us . . . israel finds comfort with the most repressive and totalitarian regimes in the world. its what it is,0
34,"israel starts the new year by demolishing a palestinian house in jerusalem this morning,

#happynew2020 #palestine https://t.co/7mv4zsmkbq",0
35,israel has played a key role in us aggression towards iran https://t.co/j5sca84tku #congress #nyc #texas #florida #california #london #paris #munich #madrid #canada #ohio #kentucky #iowa #tennessee #arazona #nevada #iran #iraq,0
36,"rt @marie_kate2: anti-semitism election row was stoked by israel, labour report says https://t.co/mruswvgd2q via @telegraph",0
37,"@mutedlavender isabelle
israel
really makes  you think",0
38,"breaking:

israel strikes terror targets in the gaza strip as a response to rockets fired this past week at civilian areas. 

#freegazafromhamas https://t.co/msnibtfmqb",0
39,"@ipitydafool @ggreenwald israel funds and arms hamas.

zionist coward",1
40,"the boycott movement (#bds) against israel is so obviously rooted in antisemitism. 

it is telling that nations such as germany and austria - who know exactly what antisemitic boycotts look like - wont tolerate it at all. 

they know what it is and where it leads",0
41,"@istanbultelaviv so ""israel is expected to allow the shipment of aid to palestinian authorities"", what should we understand from it? there is no official public explanation from both states yet. i have no trust that this could work out good for palestinians in any way",0
42,"you don't get to label anyone critical of israel and the weaponisation of antisemitism as ""a crank"" and label the evidenceless claims of former guido employees as ""something to be taken seriously"" and then be angry rlb took the only stance that wouldn't lead to mass condemnation",0
43,barghouti: saving our own asses more important than boycotting israel - https://t.co/sucfwjukwj via @mideastbeasties,0
44,"netanyahu makes special request to prime minister narendra modi: to help israel fight coronavirus pandemic, india lifts ban on export of pharmaceuticals

https://t.co/ra5kgab3in",0
45,it�s telling and crazy if you stand back to see pro-netanyahu media in israel warn a us president so far slavishly supportive of their agenda that he risks his us evangelical support by delaying acceptance of israeli annexation of a chunk of the west bank. https://t.co/mm8ksdkj67,0
46,"@robertcp @bilbalbag criticising the israel gov is not as so know one should check themselves for these cranks, abuse against a jewish person is as , criticising zionism is not, i get what you mean tho",0
47,"from sheba hospital in israel, which is handling #coronavirus patients....""national strategy was containment, mitigation, and increasing capacity for coronavirus patients. and develop a strategy to separate corona patients from other patients. heavily dependent on diagnostics.""",0
48,god told me to eat like israel,0
49,@ilsestosanso @abdullahzone @dannydanon in the 1960s as part of an ongoing effort to destroy israel) and israel's neighbours wish for the military occupation to cease then they know they have one option and that's to demonstrate incontrovertibly that they have given up violence against israel forever,0
50,"41/ it was *after* that washington post report, of course, that we learned from abc and the times of israel that in fact trump's team *did* recognize the growing pandemic threat�in november 2019�it's just that it did nothing about it (nor china's pandemic-oriented trade demands)",0
51,�right-wing and far-right movements and political parties across the world also idolise israel as they view the zionist colonial project as a successful model of european domination over the indigenous populations of developing countries.� https://t.co/meraamjh9u,1
52,"rt @qiss0rkid: go to israel pls , we don't need you",1
53,"�and jabez called on the god of israel saying, �oh, that you would bless me indeed, and enlarge my territory, that your hand would be with me, and that you would keep me from evil, that i may not cause pain!� so god� https://t.co/5xzg1vqxwt",0
54,"israel: breaking: netanyahu: people of israel are ordered to stay at home for 7 days. ""it is now a command."" police will enforce it",0
55,"ever since trump took office in 2016, israel has built more illegal settlements on palestinian land and displaced more families than in previous years. now, israel plans to begin annexing entire swathes of land in the west bank.  https://t.co/1m1wdgxflu https://t.co/xti6vs6f3f",0
56,"a big discussion on whether to ask the community's deputies what they think about israel.
#israelsurvey
@marievanderzyl is against the survey! but said the @boardofdeputies is democratic.
#labourleadershipelection 
the @boardofdeputies is divided on the question of israel",0
57,"there are more arabs in israel�
�than there are jews in europe

there are more jews in borehamwood synagogue�
�than there are jews in the arab world

think about that",0
58,rt @beholdisrael: 50 years record of rainfalls in israel within the last two weeks. the level of the sea of galilee is rising very fast,0
59,"today is the 44th #palestinelandday � the day we remember the palestinian lives israel shot &amp; killed, from the galilee to the negev https://t.co/1904tb7mjb",0
60,"rt mondoweiss ""rt aliabunimah: the operative who admits that the israel lobby �slaughtered� jeremycorbyn is so embarrassed by this confession video that he is trying to remove copies from the internet, including the one published by intifada. watch i� https://t.co/40gbc1zdwk""",0
61,"the threat of democratic fatigue in israel is real � around its election, and its choices around the us � https://t.co/okxaw8wg2h",0
62,"thank you, my dear friend @narendramodi, prime minister of india, for sending chloroquine to israel.

all the citizens of israel thank you! ???????? https://t.co/hdaskyzck4",0
63,they dumped him like trash': palestinian with suspected coronavirus symptoms thrown out of israel https://t.co/yx2dbepcxo,0
64,"rt @reuters: netanyahu, in apparent stumble, calls israel 'nuclear power' https://t.co/kzszctmj3d https://t.co/oq4pwfozlp",0
65,"3. example: in 2012, assassins kill an iranian nuclear chemist (likely directed by israel). iran promises revenge. 

where does the ultimate revenge take place? 

a month later in georgia, india and thailand where israeli diplomats are targeted with bombs

https://t.co/qel7jkzqhd https://t.co/qekqp7ddg4",0
66,"if they wanna intercept mortar shells, iron dome is a great option, but it needs a handshake with israel. 

(sorry raytheon)",0
67,rt @timesofisrael: coronavirus cases in israel rise to 143; 3 patients in serious condition https://t.co/zlbljbwlrs,0
68,@mylastrollo maybe one day israel might liberate the palestinians,0
69,"israel is under attack! join the fight to protect israel from the boycott, divestment, and sanctions (bds) campaign. https://t.co/gnyzomccpk",0
70,rt @america1timfaze: israel &amp; usa wins as bb netanyahu wins re-election  https://t.co/3xzy3lvfse via @america1timfaze,0
71,prime minister benjamin netanyahu and the people of israel pray for the speedy and full recovery of our friend british prime minister @borisjohnson. ???????? https://t.co/gnope4ulr1,0
72,"congratulations israel on @netanyahu &amp; @gantzbe forming a new government. 

keen to continue the important cooperation and build on our relationship.

looking forward to further ???? and ???? successes as we enter the 70th year of diplomatic relations",0
73,"looming 'confrontation': what lies ahead for israel and middle east in 2020?

https://t.co/spyqnpghnz",0
74,europe kowtows to israeli apartheid  (via @newsfusionapps israel news) https://t.co/jrhl5wpiuj,1
75,"trump banned muslim and african immigrants.
trump sanctified israel war crimes in palestine.
trump withdrew us from paris climate accord.
trump gave record tax cut to the rich.
trump cut welfare programs.
trump lauded nazis as ""fine people""

none of these things biden did as vp",0
76,"mangaluru: �to fight terrorism, india should ally with israel, china�- subramanian https://t.co/3eu3vi6utp",0
77,rt @standwithus: breaking: red alert sirens in southern israel. details to follow. https://t.co/rbqs1nl5p8,0
78,"@vviewssonicmair i think it's because israel has something on them. i could be wrong, though. ",1
79,"dr. israel who died had his results delayed, while bongbong marcos who just arrived from spain (amd entire staff) have had their results immediately. wow!

if you're not outraged by this, you're part of the problem. https://t.co/dmzdoiap7q",0
80,"rt @samwhuut: wtf. even you don't like israel, you can't do this. it is do disrespectful. please don't disrecpect your shoes",0
81,"israel does not control congress! it merely controls 98 of the 100 senators &amp; randpaul was almost killed. that's why it must still conduct surveillance &amp; covert lobbying in the us. we send them 4 bill./yr for ""critical defense needs"": lobbying$$/spying here in us: #foreignagents",1
82,"indonesia devastating floods: 66 people have died. more than 36,000 displaced.

in the past, israel offered humanitarian aid to indonesia - but it was rejected due to anti-israel hate. 

i pray for #indonesia from israel. ???????? https://t.co/iu6141wxup",0
83,"here�s why trump�s admin entertains the thought of war w iran.  i�d like to add one more:
it makes israel, russia &amp; saudi arabia very happy, but for different reasons. for russia+saudis it jacks up the price of oil, their largest industry&amp;the israelis nemesis has always been iran https://t.co/4hfvptbxpy",0
84,"rt @sebgorka: so @ilhanmn hates israel and defends iran. 

   now do you understand",0
85,idf soldiers across israel took a break from their exercises�to exercise their right to vote! #israelex2020 ?? https://t.co/kg4hutsjfn,0
86,"41 years ago: israel and egypt signed a peace treaty. ????????

israel is a country that seeks peace with its neighbours. 

it�s time for peace in the middle east, wars belong in the past. https://t.co/enrsr64lkt",0
87,@reddogt3 i think israel is blowing the palestinians away with their illegal occupation,0
88,soon in israel due to coronavirus @michaelsanewman @the68gote @gianlui91580067 @lackboys3 @roni4488 @208juliet @ibutterfly34 @james_anderssen @jd_usa7 @lizbeth_hineni @miri20529266 @theantiantizio1 @peterproud9 @irishchutzpah @pammyreign @keepsmile912 @americanzionism https://t.co/onddtra8dk,0
89,bernie sanders boycotts pro-israel americans https://t.co/8k0qiohmzh via @yahoo,0
90,all hell is breaking loose in the middle east and i�m sitting here in israel like https://t.co/zrt1ci2vgn,0
91,"@realdonaldtrump 

you know us israel relation is not getting to its high potential. you probably know who can help. americans should be liking to have their ally standing in middle east. but it won't happen as well as we need w/o your helping. the first hit was iron dome",0
92,"rt @stanm3: they come to germany as ""refugees"" and scream for israel to leave. https://t.co/6pjsh9ftfu",0
93,@ajenglish ok it's ok. no problem. but where are those liberal champs who say israel is only democracy? this man is talking about control because kings ruled here. isn't that a 3000-4000 years old phenomenon? how will you rationalize it in present context,0
94,"jewish bernie sanders is not afraid to speak out against israel:
https://t.co/o4bqbbfrfi
we need more politicians who do not keep quiet about the appalling behaviour of governments. 
#worldnews
#america 
#labourleadership",0
95,"breaking: israeli prime minister netanyahu told security cabinet that israel wasn't involved in the killing of soleimani and stressed ""it is a u.s. event and we should stay out of it"", according to 2 cabinet ministers who attended the meeting (@barakravid)",0
96,"bds#supporters ""pervasive anti-semitic rhetoric among boycott supporters that too often equates all things israel and jewish with the oppression of palestinian rights."" @jstreetdotorg",0
97,"alison weir: despite coronavirus-caused cutbacks, israel expects to get full $3.8 billion
while thousands of americans out of work &amp; tens of millions impacted by #coronavirus cutbacks, experts expect israel will get its full massive aid package.
.@abc
read https://t.co/u5rbgfnogw https://t.co/8zckw0evc5",1
98,israel shot 8 year-old malek issa between the eyes after he bought a sandwich from a shop: it was no accident; it's what israeli soldiers do https://t.co/b4pf92ecib,0
99,rt @criostoirreturn: coronavirus in israel. https://t.co/yfe0b7xivf https://t.co/xzymbjieim,0
100,@lsarsour america and israel will remain strong,0
101,"@caroleannesr @acosta us alerted israel, nato to disease outbreak in china in november � tv report @whitehouse 

https://t.co/elfe0rx9t7",0
102,"@realdonaldtrump stop lying.  in november 2019 you sent an ""urgent national security notice"" to israel -- not to the american people -- that there was a coronavirus outbreak in china. https://t.co/1o15oedmw3",0
103,the land of israel https://t.co/dzalbovwh5,0
104,"rt @phatill: israel adesanya's uncensored speech after been named new zealand sportsman of the year.

??

https://t.co/u67rvyavkq",0
105,"""i f---ed his leg up ... i did what i had to do to win that fight.""

israel adesanya laid out the strategy that helped him win at #ufc248. https://t.co/ci2izfirmw",0
106,"how you know we are messed up in africa. egypt have memorials of enslaving the children of israel, german have loads of 2nd world war memorials, mushroom cloud is a reminder of hiroshima. please where is the memorial of what our forefathers did that cannot be forgiven self. what",0
107,"israel must lift the blockade: nearly 2 million palestinians have just 62 ventilators, 160 test kits &amp; insufficient medicines to survive #covid19 https://t.co/a1wzovd3ci",0
108,"israel's gunmen turned 155 gazans into amputees &amp; paralysed 27 in just 2yrs: when specialist treatment was needed, israel forbid that too https://t.co/qziohehlpg",0
109,israel more like isfake,1
110,israel won�t let me in to palestine to see my family but random western christians who have no connection to the land have a �birthright� lmao ok,0
111,"rashida tlaib pushing linda sarsour's anti-american jihadi filth while sporting a t-shirt showing a total takeover of israel by palestinians.
no, it's not anti-semitic, just art from her grandmother in palestine https://t.co/wuueaptmkj",0
112,"a palestinian-born anti-israel activist &amp; nyu prof amin husain ""recently deleted most of his social media posts"" -- seems he doesn't want to be held responsible for the thuggery he encourages...
https://t.co/kp5vubsp04",0
113,"�it is difficult to understand how, in 2020, israel can make the case for a system of governance that just a few decades ago was globally repudiated when it existed in south africa.�

https://t.co/uaaeuq9wfs",1
114,so much for the big israel apartheid lie,0
115,"@realdonaldtrump no, they�re losing jobs because you unleashed a deadly pandemic on america, one the u.s. warned israel about in november and you were calling a hoex in march, you lying, racist, grim reaping, son of a klansman",0
116,"rt @simonmaginn: israel set to be investigated for war crimes in palestinian territories, icc announces https://t.co/m2bztcuh74",0
117,israel is shutting down covid-19 clinics in palestine and they arrested the staff. palestinians don�t even have the right to get tested for corona during a pandemic! i�m so tired of seeing my peoples basic human rights constantly being violated,0
118,"check out israel 1964 congress tel aviv histadrut israel  bronze medal, 120 gr https://t.co/1cpyuvu0ks @ebay",0
119,"ken loach is right. people are accused of anti-semitism for criticising israel. however, as with jeremy corbyn , this only happens though in support of #palestine. ????????????????https://t.co/wrxpvyjexu",0
120,"israel is in big trouble. their prosperity is blinding them from their true condition, they blame the government for the troubles in their own hearts, and they are trying to out-do each other in calf worship. how will god respond? #ttb #biblebus #god https://t.co/ygffmlh1ak",1
121,"anyone entering israel will have to be quarantined for at least 2 weeks, netanyahu says, effectively stopping tourism. the measure will be in effect for at least 2 weeks https://t.co/lf3yrorlyi",0
122,"he concluded with a request that the uk thinks carefully in the future before voting against israel at the un

""israel is being singled out &amp; to borrow a phrase, 'with nauseating frequency' &amp; we are joining in.  the singling out of the jewish state is wrong and unjustified.""

3/3 https://t.co/x3t1xfqooa",0
123,rt @spectatorindex: breaking: israel will permit its citizens to travel to saudi arabia for both religious and business purposes,0
124,israel security forces take away 5 tractors in the occupied west bank https://t.co/vwtlahv57t,0
125,"@ephraimodhiamb3 #thesixthsealofgod the ox knows its master, the donkey its owner�s manger, but israel does not know, my people do not understand.�
isaiah 1:3 niv",0
126,"i call on israel (and the world) on #palestinelandday (and every day) to end the blockade of gaza
#greatreturnmarch   
#returninourlifetime https://t.co/nkwyi71eag",0
127,"david friedman and his wife tammy donate $50,000 to leket israel, israel's largest food aid organization. 
thank you @usambisrael, your generousity is boundless. 
https://t.co/mwqbsnpfkh",0
128,"us gov gives 1m masks to israel during shortage, coronavirus censorship &amp; trump �holds� who funding https://t.co/fj35kitt5c https://t.co/42fy9a2qjg",0
129,rt @haaretzcom: netanyahu accidentally calls israel a 'nuclear power' https://t.co/yvsbd4vcie,0
130,"@imshin they look not bad despite the genocide that israel is committing. they eat well, get married, kiss, shoot and cry. https://t.co/2xdmzvu88a",0
131,"@originalcc11 uh... i mean you got israel, kuwait, uae, saudi arabia. do i need to continue",0
132,"@benshapiro i'm curious what you think of how israel treats palestinians. for example cutting off electricity, or water. also dumping trash on them from higher apartments? p.s. i love your work and enjoy watching you debate",0
133,"*_what israel gains:_*

_??settlers will no longer be subject to military management._
_??settlement limitations will be removed in the future._
_??israel will control 30% of the west bank._

*_what the u.s will give israel:_*

_??consent for israel�s control over settlements._",0
134,rt @jordansekulow: radio: israel makes potential breakthrough in race for coronavirus vaccine https://t.co/ewd7lpha5c,0
135,"iran, today.

- fired missiles at us base in iraq

- threatened to strike locations in israel and the uae

- qassem soleimani buried

- ukrainian boeing 737 with 180 passengers crashes near tehran

- 4.9 magnitude earthquake in country's southwestern region",0
136,   #maga the limit of israel by and large might have been due to a bad a e s t h e t i c rawr xd fake ! ?? ? ?? ?? ?? ? ?? ?? ?? ?? ?? ,0
137,"poland�s president andrzej duda won�t attend a commemoration in israel to mark the 75th anniversary of the liberation of the auschwitz nazi death camp, which was located in poland, because he was not asked to speak at the forum
https://t.co/f7kwpxkhs5",0
138,"wishing a happy passover to those celebrating in the united states, israel, and around the world! https://t.co/83odnd9yvh",0
139,"israel is an illegally established apartheid state. for the past 71 years, they have killed tens of thousands of palestinians, confiscated palestinian land and built a wall to keep palestinians trapped with no access to the sea or border",1
140,rt @heytammybruce: anti-semites �celebrate� as israel announces first coronavirus death https://t.co/mmqrudj9jk via @nyjooo,0
141,"we condemn the racist apartheid state of israel for continuing with its relentless war against the people of palestine. we demand an end to sanctions in gaza!
#endsanctionssavelives
@antiimperial_20 
@tri_continental 
@saftu_media @bdsmovement @pscabi_gaza @iaw_africa https://t.co/umpvvrxkvu",1
142,"vital: how israel is flooding europe with muslims (video) -
https://t.co/tgeor7prgy -
 - veterans today | military foreign affairs policy journal for clandestine services https://t.co/0gjcmfwwyf",1
143,"citizens of israel, our accomplishments measure up to every global standard, all the more so since we live in a very small and crowded country. therefore, your achievement here is very important",0
144,idf believes a mortar was shot into israel and landed in an open space a short time ago,0
145,@ericleiderman @mdais israel is in europe,0
146,"this israeli girl said

""they have a university in gaza, they're not opressed""

where is the correlation?

israel doesn't allow gaza to export gas or anything out of gaza, they live in an open air prison. https://t.co/sy4h9iyuxl",0
147,"@proustmalone @stanleycohenlaw so has israel discovered a vaccine. the problem is we do not ok vaccines unless they are tested, ie; 6 months",0
148,@trainersandtea @pip_davies israel at home weren�t it,0
149,"rt @haiderrr313: no doubt israel is a terrorist state??

#israel https://t.co/kxmja0yf83",1
150,"breaking: ilhan �israel hypnotizes the world� omar admits that when she seeks sanctions against israel it�s really �economic warfare.�

ilhan, your antisemitism is showing",0
151,"why are turkey, greece, israel, egypt, libya and other neighbouring countries fighting over maps and maritime boundaries? because of the world's largest untapped source of natural gas sitting under the mediterranean sea... 
https://t.co/erg1gan6i6",0
152,rt @jiwas64: i will attempt to ratio the state of israel with brawl koopa hopping https://t.co/qtuzsqjqjw,0
153,"trump plan: 

� conditional state for palestinians
� jerusalem undivided capital for israel, but palestinians capital somewhere in e j
� conceptual map 
� only netanyahu on podium
� no saudi or jordan or palestinian or egypt representation in room  https://t.co/pd3gpaznla",0
154,"coronavirus wrap: europe cases breach 500 000, israel health minister contracts covid-19 and philippines' ambassador to lebanon dies | #coronaviruspandemic

https://t.co/okkreyw8vw https://t.co/vizjzi4hed",0
155,"""if israel is a jewish country and has a right to be jewish... if ghana is a black country and has a right to be black... then why don't we have the right to keep a white country white?""

- united states navy commander and world war two veteran, george lincoln rockwell https://t.co/dwn6anf70p",0
156,"1 chronicles 4:10
�and jabez called on the god of israel saying, �oh, that you would bless me indeed, and enlarge my territory, that your hand would be with me, and that you would keep me from evil, that i may not cause pain!� so god granted him what he requested.�

i asked",0
157,lool the only higher power that has a covenant with israel is britain and american. considering they the god ma of the planet as we have it today. yeah god got a covenant with israel,0
158,@shirasilkoff @jasminelev4 @samslamdunkiam some view israel as a way of dumping off their jewish populations. jews can't live in new york if they move to tel aviv. others view israel as a western bulwark pushing western culture on middle east mohammadean savages,0
159,unbelievable. at tower hamlets. once again anti-israel corbynites are attacking the definition of #antisemitism. they just want the right to hate jews and are unhappy the council disagree with them. expect trouble this evening. https://t.co/00sd3fxfjb,0
160,"rt @jsolomonreports: france, spain and israel take more drastic actions to slow virus outbreak https://t.co/8rfuzdbpuf",0
161,israel remains everything that south africa aspired to become but with a greater and more accomplished thirst for genocide,1
162,"if iran ever got to possess, let alone detonate a nuclear weapon, israel would obliterate mulitple iranian military targets within hours. 
 
israel is reckoned to have between 60 and 90 nuclear devices available. 
. 
",0
163,rt @0rf: uh oh! big story on pro-israel money in politics. i guess everyone who talks about it is now anti-semitic like @ilhanmn,0
164,"rt @swamy39: i learn from media that there have been no deaths due to covid-19 in israel. if so, some will take it as a jewish conspiracy",0
165,rt @timesofisrael: bank of israel to buy nis 50 billion in bonds to steady sinking economy https://t.co/jx3910irrv,0
166,"israel researchers launch clinical trials to test cbd as covid-19 treatment supplement 

https://t.co/rg3nuloqvj #mme #marijuana #cannabis #cbd #israel #covid_19 https://t.co/c6xtrjepgm",0
167,flashback: israel wanted to kill al-quds leader soleimani but obama tipped off iran https://t.co/8t4twdnizd via @gatewaypundit,0
168,@ployalties israel is a blatant apartheid state committing genocide on live stream video. while influencing the world with extreme wealth and perversely nefarious activities to repress any protest against them,1
169,israel is shutting down covid-19 clinics in palestine and they arrested the staff. palestinians don�t even have the right to get tested for corona during a pandemic! i�m so tired of seeing my peoples basic human rights constantly being violated,0
170,rt @spectatorindex: just in: israel reports first coronavirus death,0
171,"@maanlichtt @oulosp i repeat. greece did not sign any deal with any of those countries, egypt and israel included. if this is what you have been told, then chose your sources more carefully",0
172,president @realdonaldtrump promised he would move the us embassy in israel to jerusalem and he kept that promise! thank you prime minister @netanyahu for meeting at our new @usembassyjlm! https://t.co/3aqejbqjl0,0
173,"rt @youversion: hear, o israel: the lord our god, the lord is one. https://t.co/wpxfqggzqx",0
174,"bds founder: it is ok to *not* boycott israel if they develop a ncov vaccine.  it appears israel is on track to start vaccinating its population june 1. 

i really think the bds people should boycott the vaccine.
this is total hypocrisy. https://t.co/eerazz6jzq",0
175,"trump: #democrats in congress are #antisemitic,� �totally against israel� https://t.co/3ioc28naxu via @breitbartnews",0
176,@irshada46576253 @tarekfatah @narendramodi @pmoindia we should prepare like israel and china,0
177,"spot the difference:

benjamin netanyahu enforces a 14-day quarantine for all new arrivals to israel; leftists shout �racist�.

jacinda ardern announces the exact same thing for new zealand; leftists praise her as a �hero�.

excuse my confusion",0
178,labour�s @keir_starmer will soon learn lesson @jeremycorbyn didn't heed: no amount of capitulation to israel lobby can ever be enough. these enemies of basic human rights and dignity for palestinians take every concession as an invitation to demand more. https://t.co/uwiqygpepx,0
179,"since its birth, israel has worked to drive the palestinian people out of their homes and off their lands � it has never ""yearned for peace"" https://t.co/zmrvkqhihn",1
180,"excellent anti-#coronavirus ad from israel. very little hebrew at end, but understandable by non-hebrew speakers. scary, but this is a time when we should have some healthy fear. hope everyone stays safe. please share. https://t.co/xuv8kxb71c",0
181,"@mbueckert well, investigating israel hits a little too close to home, it might draw comparisons to canada�s treatment of indigenous people�s. and we can�t have that",0
182,rt @realmattcouch: netanyahu and rival gantz sign unity government deal in israel https://t.co/keclyqjfo5,0
183,when the u.s. alerted israel and nato about the coronavirus in november -- why did trump not tell us so we could prepare?  why did he not tell the governors so they could prepare,0
184,"@indemtel @netanyahu @israel @israelmfa @mohfw_india @indiandiplomacy @israelmoh india and israel are best friends forever.... 
# ?? love ???? &amp; love? india",0
185,"michael rubin of labour friends of israel:

�the [israel] embassy helps us quite a lot. when bad news stories come out about israel, the embassy sends us information so we can counter it� it�s really helpful. we work very closely together. but a lot of it is behind the scenes.�",0
186,"my bro is missing, his name is israel oghagha ukpedor...he just graduated from the university of benin from the department of social work...he has been missing since sunday evening on his way to his house at sapele road...pls if found or seen anywhere please call 08134245661 https://t.co/rxfeaopsjl",0
187,breaking: avigdor lieberman's israel beyteinu will support a law limiting a prime minister to 2 terms and also support a law forbiding an indicted knesset from being tasked with forming a government. https://t.co/hri2eqhh8e,0
188,israel folau: shock and outrage greets catalans dragons' signing https://t.co/njgxbpflov,0
189,"rt @degeneratething: at only 6 years old, bernard sanders founded the state of israel. https://t.co/cn1eum036f",0
190,reminder: israel deliberately targeted &amp; bombed 161 mosques in gaza in 2014: 41 were completely obliterated &amp; 120 were partially destroyed https://t.co/w1s1whugao,0
191,"since the beginning of 2020, ""israel"" arrested 200 palestinians! the arrests include 21 children (under the age of 18), the youngest of them is 13 years old!

https://t.co/fgkdzgtvgq",0
192,"""it's impossible to prevent the virus from making it to israel, but we�re trying to delay it as much as possible� https://t.co/2dlddnkufb",0
193,https://t.co/bnwyz5dtkr  no israel involv. no one care of #humanrightsviolations,0
194,@no_silenced israel,0
195," russian air force heavy lifters lined up in israel ahead of putin's visit...

transport for his armoured limos &amp; security",0
196,"jews in america are less concerned by our embassy in israel than in bernie sanders� amplification of antisemites who call for the destruction of israel. unfortunate framing of the question, @cbs #scdebate",0
197,"@dankurtzer is former us ambassador to both egypt and israel, and a veteran of and deep thinker on the peace process (and, i can personally attest, an excellent professor, in case there was any doubt about his grading). https://t.co/s1tgrpu6il",0
198,"coronavirus updates:
- germany: 12 new cases, 50 so far today, 129 total
- israel: 3 new cases today, 10 total
- iceland: 1 new case, 2 new cases so far today, 3 total https://t.co/euoe2b20hl",0
